comment_id,created_at,context,user_id,article_id,comment_grp,hierarchy
69,2023-08-16 13:37,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,dgillison5,55,,1
50,2023-07-21 23:33,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,rsuddock6,90,,0
22,2023-04-05 4:34,faucibus cursus urna ut tellus nulla ut erat id mauris,hantonsen7,79,,0
32,2023-07-24 3:02,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,hbladge8,59,,0
44,2023-05-10 5:44,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,pyork9,54,,1
75,2023-05-28 0:39,congue risus semper porta volutpat quam pede lobortis ligula sit,alossmana,13,,1
92,2023-09-06 16:38,mauris morbi non lectus aliquam sit amet diam in magna bibendum,blerouxb,16,,0
1,2023-03-22 15:38,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,wferrarelloc,3,,1
4,2022-12-25 2:57,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,dspreadd,57,,0
87,2022-12-27 21:40,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,mhallgalleye,98,,0
89,2023-02-19 14:50,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,arealf,8,,0
2,2023-05-19 12:39,a feugiat et eros vestibulum ac est lacinia nisi venenatis,bswinleyg,47,,1
73,2023-11-08 3:17,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,ochettleh,52,,1
100,2023-06-17 11:25,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,pfallowsi,35,5,0
52,2023-03-23 9:16,arcu sed augue aliquam erat volutpat in congue etiam justo,prenhardj,30,,1
