comment_id,created_at,context,user_id,article_id
80,2023-08-30 17:40,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,pfallowsi,34
55,2022-12-22 5:16,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,prenhardj,4
79,2023-09-19 3:07,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,tkesterton0,98
100,2023-06-22 21:13,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,kohoolahan1,60
100,2023-04-14 20:01,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,dbohey2,83
83,2023-10-27 23:32,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,mstannah3,76
17,2023-11-02 16:41,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,zdillistone4,13
80,2023-03-09 10:16,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,dgillison5,23
83,2023-10-07 2:20,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,rsuddock6,26
20,2023-01-27 4:35,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,hantonsen7,51
14,2023-05-07 20:56,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,hbladge8,28
19,2023-06-01 7:22,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,pyork9,75
79,2023-06-08 2:36,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,alossmana,40
31,2022-12-10 23:09,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,blerouxb,23
77,2023-05-01 13:21,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,wferrarelloc,90
65,2022-12-22 4:05,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,dspreadd,83
17,2023-10-27 11:35,ullamcorper augue a suscipit nulla elit ac nulla sed vel,mhallgalleye,88
31,2023-09-28 12:02,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,arealf,37
60,2023-02-03 21:11,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,bswinleyg,76
91,2023-01-23 0:15,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,ochettleh,100
46,2023-07-26 1:49,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,pfallowsi,44
79,2023-03-13 2:54,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,prenhardj,65
37,2023-02-19 12:27,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,tkesterton0,8
53,2022-11-20 1:57,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,kohoolahan1,2
100,2023-06-02 18:29,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,dbohey2,1
98,2023-03-14 22:01,a odio in hac habitasse platea dictumst maecenas ut massa,mstannah3,96
4,2023-02-09 12:13,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,zdillistone4,79
89,2023-02-22 10:34,tellus in sagittis dui vel nisl duis ac nibh fusce,dgillison5,78
30,2023-03-01 7:53,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,rsuddock6,3
62,2023-09-13 15:14,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,hantonsen7,36
48,2023-08-14 11:48,nunc rhoncus dui vel sem sed sagittis nam congue risus semper,hbladge8,36
12,2023-06-25 22:28,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,pyork9,61
74,2023-08-13 5:15,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,alossmana,21
79,2023-05-20 13:50,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,blerouxb,92
17,2023-08-11 17:43,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,wferrarelloc,72
37,2022-11-24 16:59,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,dspreadd,32
51,2023-09-04 22:37,tortor risus dapibus augue vel accumsan tellus nisi eu orci,mhallgalleye,31
35,2023-04-01 17:25,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,arealf,73
56,2023-02-10 11:10,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,bswinleyg,13
46,2022-12-30 10:10,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,ochettleh,13
13,2023-08-08 4:51,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,pfallowsi,63
7,2022-11-30 11:40,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,prenhardj,32
9,2022-12-11 18:44,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,tkesterton0,33
71,2023-06-04 15:32,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,kohoolahan1,60
9,2022-12-14 3:54,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,dbohey2,38
21,2023-05-04 22:25,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,mstannah3,67
11,2023-08-16 12:17,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,zdillistone4,82
69,2023-08-29 12:32,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,dgillison5,30
27,2023-01-16 12:36,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,rsuddock6,74
56,2023-02-13 6:43,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,hantonsen7,75
3,2023-07-24 14:40,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,hbladge8,99
82,2023-09-25 9:44,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,pyork9,59
1,2023-10-11 3:10,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,alossmana,10
70,2023-10-18 5:57,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,blerouxb,37
72,2022-12-20 9:21,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,wferrarelloc,87
40,2023-10-22 20:25,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,dspreadd,69
55,2023-06-27 4:08,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,mhallgalleye,21
16,2023-02-07 5:04,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,arealf,50
26,2023-10-29 10:06,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,bswinleyg,58
78,2023-04-28 20:15,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,ochettleh,3
52,2023-07-30 17:04,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,pfallowsi,82
57,2023-02-10 17:37,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,prenhardj,52
20,2023-08-27 2:01,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,tkesterton0,66
6,2022-12-29 8:40,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,kohoolahan1,92
1,2023-09-27 7:18,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,dbohey2,43
39,2023-04-16 6:34,sem praesent id massa id nisl venenatis lacinia aenean sit,mstannah3,76
83,2023-09-30 15:50,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,zdillistone4,91
69,2023-08-16 13:37,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,dgillison5,55
50,2023-07-21 23:33,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,rsuddock6,90
22,2023-04-05 4:34,faucibus cursus urna ut tellus nulla ut erat id mauris,hantonsen7,79
32,2023-07-24 3:02,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,hbladge8,59
44,2023-05-10 5:44,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,pyork9,54
75,2023-05-28 0:39,congue risus semper porta volutpat quam pede lobortis ligula sit,alossmana,13
92,2023-09-06 16:38,mauris morbi non lectus aliquam sit amet diam in magna bibendum,blerouxb,16
1,2023-03-22 15:38,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,wferrarelloc,3
4,2022-12-25 2:57,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,dspreadd,57
87,2022-12-27 21:40,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,mhallgalleye,98
89,2023-02-19 14:50,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,arealf,8
2,2023-05-19 12:39,a feugiat et eros vestibulum ac est lacinia nisi venenatis,bswinleyg,47
73,2023-11-08 3:17,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,ochettleh,52
100,2023-06-17 11:25,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,pfallowsi,35
52,2023-03-23 9:16,arcu sed augue aliquam erat volutpat in congue etiam justo,prenhardj,30
